tumor,n_clusters,nearest_neighbor_probability,p
3430_NT_T2,8,0.4607713880774797,0.0
3430_NT_T2,7,0.4607713880774797,0.0
3430_NT_T2,6,0.4747991411463282,0.0
3430_NT_T2,5,0.4747991411463282,0.0
3430_NT_T2,4,0.4747991411463282,0.0
3430_NT_T2,3,0.5856181591006869,0.0
3430_NT_T2,2,0.6684794246058001,0.0
3432_NT_T1,8,0.6169616519174045,0.0
3432_NT_T1,7,0.6597345132743369,0.0
3432_NT_T1,6,0.6907079646017703,0.0
3432_NT_T1,5,0.7154867256637166,0.0
3432_NT_T1,4,0.7671091445427727,0.0
3432_NT_T1,3,0.796755162241888,0.0
3432_NT_T1,2,0.8365781710914455,0.0
3432_NT_T2,4,0.8962210941906376,0.0
3432_NT_T2,3,0.9266779469825157,0.0
3432_NT_T2,2,0.9627749576988157,0.0
3433_NT_T2,7,0.48035023663679666,0.0
3433_NT_T2,6,0.531722399827142,0.0
3433_NT_T2,5,0.5442268042216487,0.0
3433_NT_T2,4,0.5450926050874495,0.0
3433_NT_T2,3,0.6661397667990396,0.0
3433_NT_T2,2,0.7475985397613616,0.0
3434_NT_T2,6,0.5029376169658855,0.0
3434_NT_T2,5,0.5062626377472654,0.0
3434_NT_T2,4,0.5066782653449379,0.0
3434_NT_T2,3,0.573937019045482,0.0
3434_NT_T2,2,0.6617419524816928,0.0
3434_NT_T3,8,0.3852407308024461,0.004
3434_NT_T3,7,0.4284506839062989,0.003
3434_NT_T3,6,0.42862232642705134,0.004
3434_NT_T3,5,0.4342762199076881,0.006
3434_NT_T3,4,0.4549875756077042,0.006
3434_NT_T3,3,0.4752057517032127,0.005
3434_NT_T3,2,0.5216692657602834,0.009
3435_NT_T1,4,0.8421870586906172,0.0
3435_NT_T1,3,0.8439664181212222,0.0
3435_NT_T1,2,0.9188033101734169,0.0
3435_NT_T3,5,0.4476190476190477,0.077
3435_NT_T3,4,0.49482401656314684,0.274
3435_NT_T3,3,0.4956004140786748,0.723
3435_NT_T3,2,0.5430124223602484,0.735
3435_NT_T4,7,0.5627362078726835,0.0
3435_NT_T4,6,0.5661375684169012,0.0
3435_NT_T4,5,0.6275425314046028,0.0
3435_NT_T4,4,0.6936498933134428,0.0
3435_NT_T4,3,0.935374149659864,0.0
3435_NT_T4,2,0.9404761904761905,0.0
3435_NT_T6,4,0.8692999357739242,0.0
3435_NT_T6,3,0.8692999357739242,0.0
3435_NT_T6,2,0.9311175337186897,0.0
3513_NT_T2,6,0.4906929628868276,0.0
3513_NT_T2,5,0.4928176087791788,0.0
3513_NT_T2,4,0.4993095823391402,0.0
3513_NT_T2,3,0.5062871559112274,0.0
3513_NT_T2,2,0.8221821386160514,0.0
3513_NT_T3,7,0.4947910609208471,0.0
3513_NT_T3,6,0.6988082467861627,0.0
3513_NT_T3,5,0.7013274480150409,0.0
3513_NT_T3,4,0.709713382729047,0.0
3513_NT_T3,3,0.7998418950506159,0.0
3513_NT_T3,2,0.8831109584838945,0.0
3513_NT_T4,8,0.3945942705076531,0.0
3513_NT_T4,7,0.3968017760264168,0.0
3513_NT_T4,6,0.43223223960257556,0.0
3513_NT_T4,5,0.45804836845224456,0.0
3513_NT_T4,4,0.5455122007296377,0.0
3513_NT_T4,3,0.641975329323465,0.0
3513_NT_T4,2,0.8954864396089549,0.0
3513_NT_T5,6,0.6959379717304786,0.0
3513_NT_T5,5,0.7024221215863864,0.0
3513_NT_T5,4,0.7040688898037597,0.0
3513_NT_T5,3,0.7163167284204743,0.0
3513_NT_T5,2,0.7763551530122127,0.0
3520_NT_T1,7,0.5782997762863535,0.125
3520_NT_T1,6,0.5782997762863535,0.145
3520_NT_T1,5,0.6118568232662192,0.098
3520_NT_T1,4,0.6431767337807606,0.054
3520_NT_T1,3,0.6588366890380314,0.036
3520_NT_T1,2,0.6756152125279642,0.019
3703_NT_T2,6,0.6801886792452829,0.0
3703_NT_T2,5,0.7908805031446541,0.004
3703_NT_T2,4,0.8034591194968554,0.008
3703_NT_T2,3,0.8034591194968554,0.012
3703_NT_T2,2,0.8223270440251573,0.011
3724_NT_T1,8,0.3828345214416345,0.0
3724_NT_T1,7,0.39744422596513945,0.0
3724_NT_T1,6,0.42999077176281264,0.0
3724_NT_T1,5,0.4807912751346411,0.0
3724_NT_T1,4,0.6597859422647361,0.0
3724_NT_T1,3,0.8861199908669589,0.0
3724_NT_T1,2,0.8956485973824544,0.0
3726_NT_T1,8,0.4424504184818373,0.0
3726_NT_T1,7,0.5053951918892066,0.0
3726_NT_T1,6,0.5082449328218491,0.0
3726_NT_T1,5,0.5255384555003435,0.0
3726_NT_T1,4,0.5255384555003435,0.0
3726_NT_T1,3,0.5839532380407735,0.0
3726_NT_T1,2,0.6358669229632954,0.0
3726_NT_T2,5,0.7768582022973126,0.0
3726_NT_T2,4,0.7774436823909895,0.0
3726_NT_T2,3,0.7893484442957515,0.0
3726_NT_T2,2,0.9632924891267983,0.0
3730_NT_T1,8,0.7121002238606922,0.0
3730_NT_T1,7,0.7121002238606922,0.0
3730_NT_T1,6,0.7188973962369836,0.0
3730_NT_T1,5,0.7288350449634076,0.0
3730_NT_T1,4,0.8631607654636786,0.0
3730_NT_T1,3,0.9761862854526207,0.0
3730_NT_T1,2,0.98284393692224,0.0
3730_NT_T2,7,0.5871000145594797,0.0
3730_NT_T2,6,0.5875536733173616,0.0
3730_NT_T2,5,0.7174928830438053,0.0
3730_NT_T2,4,0.753207168758091,0.0
3730_NT_T2,3,0.8001877436674053,0.0
3730_NT_T2,2,0.9893110435663625,0.0
